Ta_C,Precip_mm,Sw_rad_mj_m2,Date,VPD_kpa
11.8,0,11.15,1/1/2022,0.467083333
11.3,0,11.12,1/2/2022,0.445416667
12.9,0,9.52,1/3/2022,0.467916667
13.3,1,5.52,1/4/2022,0.391666667
12.4,10.8,2.59,1/5/2022,0.080416667
12.8,0.7,5.81,1/6/2022,0.18
12.9,23.7,2.34,1/7/2022,0.1175
13.1,4.9,8.92,1/8/2022,0.241666667
10.6,0,8.86,1/9/2022,0.232083333
11,0,10.36,1/10/2022,0.269166667
10.5,0,10.7,1/11/2022,0.197916667
11.4,0,11.71,1/12/2022,0.34
12.2,0,11.97,1/13/2022,0.338333333
10.6,0,10.49,1/14/2022,0.165416667
9.3,0,8.07,1/15/2022,0.110833333
10.4,0,7.25,1/16/2022,0.140833333
10.6,0,8.01,1/17/2022,0.168333333
10.8,0,10.81,1/18/2022,0.1725
11.6,4.8,4.91,1/19/2022,0.133333333
12.2,0,8.59,1/20/2022,0.202916667
10.8,0.5,9.81,1/21/2022,0.210833333
11.6,18.1,3.37,1/22/2022,0.153333333
12.2,6.2,6.29,1/23/2022,0.1975
11.2,1.7,8.91,1/24/2022,0.194166667
10.7,0.2,10.61,1/25/2022,0.215
10.9,0,13.46,1/26/2022,0.391666667
10.7,0,13.81,1/27/2022,0.436666667
10.8,0,13.81,1/28/2022,0.416666667
13,0,13.74,1/29/2022,0.544166667
12.8,0,13.46,1/30/2022,0.450416667
13.2,0,13.92,1/31/2022,0.409166667
12.9,0,14.1,2/1/2022,0.36625
13.1,0.9,13.47,2/2/2022,0.45375
11.9,4.7,10.89,2/3/2022,0.295416667
10.3,0,13.81,2/4/2022,0.254166667
10.3,0,13.99,2/5/2022,0.221666667
11.7,0.3,13.2,2/6/2022,0.259583333
13.6,0.2,14.65,2/7/2022,0.420416667
14.3,0,15.22,2/8/2022,0.6075
14.1,0.1,14.58,2/9/2022,0.540416667
13.5,0,15,2/10/2022,0.576666667
13.4,0,15.88,2/11/2022,0.582083333
13.9,0,15.94,2/12/2022,0.612916667
14.5,0,15.84,2/13/2022,0.574166667
15.2,0,15.61,2/14/2022,0.6075
15.3,0,15.77,2/15/2022,0.555
15.2,0,15.6,2/16/2022,0.606666667
15.9,0.6,15.81,2/17/2022,0.740416667
14.8,0,14.13,2/18/2022,0.61625
15.3,0,16.79,2/19/2022,0.677916667
16.3,0,17.28,2/20/2022,1.032916667
16.5,0,17.55,2/21/2022,1.08375
17.8,0.4,13.99,2/22/2022,0.795833333
15.7,0,16.37,2/23/2022,0.560833333
15.3,2.3,16.02,2/24/2022,0.453333333
14.7,2.2,13.29,2/25/2022,0.33
13.7,32.1,12.53,2/26/2022,0.274166667
13.6,0,18.09,2/27/2022,0.45875
14.9,0,16.92,2/28/2022,0.66875
17,0,16.09,3/1/2022,0.619583333
17.8,0,14.53,3/2/2022,0.74375
15.5,3.5,11.03,3/3/2022,0.2975
16.1,0,18.15,3/4/2022,0.494166667
18.2,0,18.11,3/5/2022,0.832916667
19.6,0,13.33,3/6/2022,0.817083333
19.9,0,18.29,3/7/2022,0.862083333
19.6,0,19.4,3/8/2022,1.002916667
20,0,17.14,3/9/2022,1.046666667
20.6,0,19.43,3/10/2022,1.16875
21.3,0,19.99,3/11/2022,1.412083333
22.9,0,19.57,3/12/2022,1.564583333
24.8,0,19.9,3/13/2022,1.575833333
25.5,0,19.81,3/14/2022,1.544583333
25.9,0,19.91,3/15/2022,1.43
27.4,0,20.28,3/16/2022,2.06
27.7,0,20.87,3/17/2022,2.097916667
27.2,0,20.46,3/18/2022,1.43125
27.4,0,20.67,3/19/2022,1.544166667
26.1,0,19.62,3/20/2022,1.5725
25.7,0,21.21,3/21/2022,1.791666667
26,0,21.62,3/22/2022,2.010833333
25.8,0,19.56,3/23/2022,2.022083333
25.3,0,20.78,3/24/2022,1.8275
25.2,0,21.24,3/25/2022,2.035416667
25.4,0,22.4,3/26/2022,2.255416667
25.8,0,22.54,3/27/2022,2.3375
26.1,0,22.43,3/28/2022,2.121666667
26.6,0,22.45,3/29/2022,2.156666667
27,0,22.4,3/30/2022,2.294583333
27.1,0,22.49,3/31/2022,2.477083333
27.3,0,23.48,4/1/2022,3.03125
27.5,0,23.2,4/2/2022,2.885
27.4,0,23.52,4/3/2022,2.870833333
27.6,0,23.48,4/4/2022,2.7775
28.8,0,23.32,4/5/2022,3.232083333
30.5,0,23.55,4/6/2022,3.679583333
29.9,0,23.77,4/7/2022,3.59125
30.4,0,23.57,4/8/2022,3.593333333
30.7,0,23.04,4/9/2022,3.689166667
30.9,0,23.74,4/10/2022,3.537083333
31.9,0,22.61,4/11/2022,3.93875
31.9,0,20.41,4/12/2022,4.013333333
30.5,0,23.04,4/13/2022,3.73
29.5,0,21.52,4/14/2022,3.397083333
29.1,0,21.6,4/15/2022,3.190833333
30.1,0,23.98,4/16/2022,3.49375
